                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.5787,                 1.6013,                 1.6205,                0.65949,                0.40909,                0.41695,                0.17844,                 1.9729,                 1.8635,                 1.9873,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5932,                 1.6032,                 1.6113,                0.52455,                0.36364,                0.39765,                0.17019,                 1.8695,                 1.8632,                 1.8279,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.5637,                 1.6356,                 1.6266,                0.50108,                0.36364,                0.37836,                0.16375,                 1.7388,                 1.8306,                 1.8261,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.5331,                 1.5928,                 1.6033,                 0.5226,                0.45455,                0.40976,                0.19483,                 1.8191,                 1.8161,                 1.9281,               0.000812,               0.000812,               0.000812
                     63,                 1.5397,                  1.549,                 1.5841,                0.62425,                0.45455,                0.44901,                 0.2084,                 1.8036,                 1.6861,                  1.856,              0.0007922,              0.0007922,              0.0007922
                     64,                  1.501,                 1.5366,                 1.5842,                0.70639,                0.54545,                0.52935,                0.23205,                 1.7821,                   1.67,                 1.8469,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4913,                 1.4948,                 1.5301,                0.73529,                0.45455,                0.56097,                0.26125,                 1.7907,                 1.6886,                 1.8805,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.4675,                 1.5295,                 1.5574,                0.54316,                0.40909,                0.46446,                0.24646,                 1.8243,                 1.7334,                 1.8651,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4969,                 1.5137,                 1.5688,                0.51675,                0.54545,                0.48022,                0.25194,                 1.8053,                 1.7861,                 1.8649,               0.000713,               0.000713,               0.000713
                     68,                  1.529,                 1.5575,                 1.5687,                0.61982,                0.54545,                0.46104,                0.22161,                 1.9233,                 1.6888,                 1.9116,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.539,                  1.439,                 1.5785,                0.65116,                0.54545,                0.46918,                 0.2118,                 1.9065,                 1.6783,                 1.9095,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5188,                 1.4475,                 1.5472,                0.61857,                0.54545,                0.45179,                0.22971,                 1.9006,                 1.7524,                 1.8793,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5329,                 1.4245,                 1.5317,                  0.684,                0.59036,                0.52736,                0.27128,                 1.6301,                   1.66,                 1.7611,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.4444,                 1.4262,                 1.5188,                  0.558,                0.63636,                0.55292,                0.28892,                 1.4707,                 1.6825,                 1.6734,               0.000614,               0.000614,               0.000614
                     73,                 1.5896,                 1.6229,                 1.6366,                0.54563,                0.59091,                0.53678,                0.30525,                 1.5257,                 1.6674,                 1.7255,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.5768,                 1.6017,                 1.6194,                0.66408,                    0.5,                0.55141,                0.29435,                  1.532,                 1.6588,                 1.7066,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.4691,                 1.4196,                 1.5289,                0.69235,                0.54545,                0.52721,                0.29907,                 1.5384,                 1.6571,                  1.695,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5374,                 1.5235,                  1.588,                0.64278,                 0.5731,                 0.5082,                0.26165,                 1.5587,                 1.6142,                 1.6792,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.3875,                 1.4191,                 1.4838,                0.55581,                    0.5,                0.50635,                 0.2813,                 1.6008,                 1.6147,                 1.6928,               0.000515,               0.000515,               0.000515
